,datadate,feature,value score,feature description,feature definition,month
14,2005-04-01,cash_conversion,0.0017480000000000002,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2005-04
15,2005-05-01,cash_conversion,2.799999999999969e-05,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2005-05
16,2005-06-01,cash_conversion,-6.80000000000005e-05,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2005-06
17,2005-07-01,cash_conversion,-0.0021320000000000006,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2005-07
18,2005-08-01,cash_conversion,-5.599999999999983e-05,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2005-08
19,2005-09-01,cash_conversion,-0.0007759999999999991,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2005-09
20,2005-10-01,cash_conversion,-0.0013840000000000005,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2005-10
21,2005-11-01,cash_conversion,0.00012000000000000094,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2005-11
22,2005-12-01,cash_conversion,-0.0006480000000000008,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2005-12
23,2006-01-01,cash_conversion,-0.0017759999999999996,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2006-01
24,2006-02-01,cash_conversion,0.0005800000000000008,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2006-02
25,2006-03-01,cash_conversion,0.0010080000000000004,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2006-03
26,2006-04-01,cash_conversion,0.0017800000000000003,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2006-04
27,2006-05-01,cash_conversion,0.0005400000000000002,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2006-05
28,2006-06-01,cash_conversion,-0.0013679999999999999,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2006-06
29,2006-07-01,cash_conversion,-0.000848,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2006-07
30,2006-08-01,cash_conversion,-0.001252,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2006-08
31,2006-09-01,cash_conversion,-0.0018879999999999995,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2006-09
32,2006-10-01,cash_conversion,0.0010639999999999998,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2006-10
33,2006-11-01,cash_conversion,0.0008199999999999999,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2006-11
34,2006-12-01,cash_conversion,-0.002148000000000001,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2006-12
35,2007-01-01,cash_conversion,0.00012000000000000055,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2007-01
36,2007-02-01,cash_conversion,-0.001196,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2007-02
37,2007-03-01,cash_conversion,-0.0009519999999999999,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2007-03
38,2007-04-01,cash_conversion,-0.0012680000000000005,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2007-04
39,2007-05-01,cash_conversion,0.0007599999999999988,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2007-05
40,2007-06-01,cash_conversion,-5.1999999999999766e-05,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2007-06
41,2007-07-01,cash_conversion,0.0004159999999999995,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2007-07
42,2007-08-01,cash_conversion,0.00022799999999999988,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2007-08
43,2007-09-01,cash_conversion,0.0026240000000000005,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2007-09
44,2007-10-01,cash_conversion,0.00036800000000000016,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2007-10
45,2007-11-01,cash_conversion,-8.00000000000001e-05,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2007-11
46,2007-12-01,cash_conversion,0.0003239999999999993,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2007-12
47,2008-01-01,cash_conversion,0.0052039999999999986,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2008-01
48,2008-02-01,cash_conversion,-2.799999999999969e-05,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2008-02
49,2008-03-01,cash_conversion,0.0,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2008-03
50,2008-04-01,cash_conversion,0.0,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2008-04
51,2008-05-01,cash_conversion,-0.00038400000000000055,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2008-05
52,2008-06-01,cash_conversion,0.0003560000000000007,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2008-06
53,2008-07-01,cash_conversion,-0.003968,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2008-07
54,2008-08-01,cash_conversion,-0.001587999999999999,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2008-08
55,2008-09-01,cash_conversion,-0.0030520000000000005,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2008-09
56,2008-10-01,cash_conversion,-0.0015240000000000006,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2008-10
57,2008-11-01,cash_conversion,0.00154,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2008-11
58,2008-12-01,cash_conversion,0.0007039999999999981,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2008-12
59,2009-01-01,cash_conversion,-0.0013839999999999987,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2009-01
60,2009-02-01,cash_conversion,0.002732,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2009-02
61,2009-03-01,cash_conversion,0.00022000000000000014,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2009-03
62,2009-04-01,cash_conversion,0.0011560000000000003,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2009-04
63,2009-05-01,cash_conversion,0.0009239999999999996,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2009-05
64,2009-06-01,cash_conversion,0.0020040000000000014,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2009-06
65,2009-07-01,cash_conversion,-0.0026720000000000008,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2009-07
66,2009-08-01,cash_conversion,0.0003639999999999994,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2009-08
67,2009-09-01,cash_conversion,-0.002128,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2009-09
68,2009-10-01,cash_conversion,0.0003120000000000007,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2009-10
69,2009-11-01,cash_conversion,0.0005240000000000009,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2009-11
70,2009-12-01,cash_conversion,-0.0008440000000000035,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2009-12
71,2010-01-01,cash_conversion,0.0005280000000000005,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2010-01
72,2010-02-01,cash_conversion,-0.0005599999999999994,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2010-02
73,2010-03-01,cash_conversion,-0.00041200000000000085,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2010-03
74,2010-04-01,cash_conversion,-0.0008640000000000007,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2010-04
75,2010-05-01,cash_conversion,-0.003715999999999999,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2010-05
76,2010-06-01,cash_conversion,-0.0018320000000000003,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2010-06
77,2010-07-01,cash_conversion,-0.0012839999999999993,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2010-07
78,2010-08-01,cash_conversion,-0.0016719999999999986,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2010-08
79,2010-09-01,cash_conversion,-0.0014999999999999996,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2010-09
80,2010-10-01,cash_conversion,0.0026959999999999987,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2010-10
81,2010-11-01,cash_conversion,-0.0007439999999999995,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2010-11
82,2010-12-01,cash_conversion,0.0015319999999999995,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2010-12
83,2011-01-01,cash_conversion,0.0015559999999999997,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2011-01
84,2011-02-01,cash_conversion,-0.0022960000000000003,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2011-02
85,2011-03-01,cash_conversion,-0.000516,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2011-03
86,2011-04-01,cash_conversion,-0.0010479999999999975,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2011-04
87,2011-05-01,cash_conversion,-0.0029439999999999974,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2011-05
88,2011-06-01,cash_conversion,-0.00010400000000000002,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2011-06
89,2011-07-01,cash_conversion,-0.0002920000000000007,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2011-07
90,2011-08-01,cash_conversion,0.0,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2011-08
91,2011-09-01,cash_conversion,0.003316000000000001,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2011-09
92,2011-10-01,cash_conversion,0.0,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2011-10
93,2011-11-01,cash_conversion,0.0014960000000000006,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2011-11
94,2011-12-01,cash_conversion,0.003632000000000001,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2011-12
95,2012-01-01,cash_conversion,0.0011439999999999988,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2012-01
96,2012-02-01,cash_conversion,7.19999999999984e-05,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2012-02
97,2012-03-01,cash_conversion,5.6000000000000216e-05,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2012-03
98,2012-04-01,cash_conversion,0.0010359999999999996,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2012-04
99,2012-05-01,cash_conversion,-0.0002560000000000003,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2012-05
100,2012-06-01,cash_conversion,0.0003560000000000001,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2012-06
101,2012-07-01,cash_conversion,-0.0011520000000000015,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2012-07
102,2012-08-01,cash_conversion,-0.0005800000000000012,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2012-08
103,2012-09-01,cash_conversion,0.0034799999999999996,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2012-09
104,2012-10-01,cash_conversion,0.0004679999999999996,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2012-10
105,2012-11-01,cash_conversion,-0.0023,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2012-11
106,2012-12-01,cash_conversion,0.0016480000000000002,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2012-12
107,2013-01-01,cash_conversion,0.0013279999999999998,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2013-01
108,2013-02-01,cash_conversion,-0.00021200000000000008,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2013-02
109,2013-03-01,cash_conversion,8.799999999999989e-05,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2013-03
110,2013-04-01,cash_conversion,-0.001676,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2013-04
111,2013-05-01,cash_conversion,0.002624,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2013-05
112,2013-06-01,cash_conversion,0.0013760000000000005,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2013-06
113,2013-07-01,cash_conversion,-4.000000000001336e-06,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2013-07
114,2013-08-01,cash_conversion,-0.0017199999999999984,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2013-08
115,2013-09-01,cash_conversion,0.0007159999999999997,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2013-09
116,2013-10-01,cash_conversion,-1.2000000000000232e-05,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2013-10
117,2013-11-01,cash_conversion,0.0008840000000000001,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2013-11
118,2013-12-01,cash_conversion,0.00034800000000000065,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2013-12
119,2014-01-01,cash_conversion,-0.0009759999999999997,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2014-01
120,2014-02-01,cash_conversion,-0.0004000000000000009,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2014-02
121,2014-03-01,cash_conversion,-0.0023919999999999987,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2014-03
122,2014-04-01,cash_conversion,-0.002528,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2014-04
123,2014-05-01,cash_conversion,-0.0016760000000000006,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2014-05
124,2014-06-01,cash_conversion,0.00017999999999999928,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2014-06
125,2014-07-01,cash_conversion,-0.001972,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2014-07
126,2014-08-01,cash_conversion,0.0025999999999999994,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2014-08
127,2014-09-01,cash_conversion,-0.0014520000000000008,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2014-09
128,2014-10-01,cash_conversion,0.0028479999999999994,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2014-10
129,2014-11-01,cash_conversion,0.0010479999999999997,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2014-11
130,2014-12-01,cash_conversion,0.004540000000000001,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2014-12
131,2015-01-01,cash_conversion,0.0009999999999999998,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2015-01
132,2015-02-01,cash_conversion,0.0005599999999999996,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2015-02
133,2015-03-01,cash_conversion,0.0015640000000000003,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2015-03
134,2015-04-01,cash_conversion,0.00030800000000000104,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2015-04
135,2015-05-01,cash_conversion,0.0019399999999999999,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2015-05
136,2015-06-01,cash_conversion,-0.0008479999999999999,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2015-06
137,2015-07-01,cash_conversion,0.0006159999999999996,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2015-07
138,2015-08-01,cash_conversion,0.0005399999999999998,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2015-08
139,2015-09-01,cash_conversion,-0.0007599999999999998,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2015-09
140,2015-10-01,cash_conversion,0.0005479999999999997,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2015-10
141,2015-11-01,cash_conversion,-0.001772,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2015-11
142,2015-12-01,cash_conversion,0.003244000000000001,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2015-12
143,2016-01-01,cash_conversion,0.0019360000000000002,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2016-01
144,2016-02-01,cash_conversion,0.001988,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2016-02
145,2016-03-01,cash_conversion,0.0032519999999999997,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2016-03
146,2016-04-01,cash_conversion,0.0012079999999999997,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2016-04
147,2016-05-01,cash_conversion,0.0025279999999999994,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2016-05
148,2016-06-01,cash_conversion,0.00016400000000000063,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2016-06
149,2016-07-01,cash_conversion,0.0020519999999999996,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2016-07
150,2016-08-01,cash_conversion,-0.0013279999999999998,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2016-08
151,2016-09-01,cash_conversion,0.0008200000000000001,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2016-09
152,2016-10-01,cash_conversion,-0.00144,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2016-10
153,2016-11-01,cash_conversion,-0.001476000000000001,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2016-11
154,2016-12-01,cash_conversion,-0.00044399999999999984,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2016-12
155,2017-01-01,cash_conversion,-0.00014799999999999959,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2017-01
156,2017-02-01,cash_conversion,-0.0007000000000000003,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2017-02
157,2017-03-01,cash_conversion,-0.005619999999999999,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2017-03
158,2017-04-01,cash_conversion,-0.0011239999999999993,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2017-04
159,2017-05-01,cash_conversion,-0.004356,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2017-05
160,2017-06-01,cash_conversion,-0.0018959999999999995,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2017-06
161,2017-07-01,cash_conversion,0.0030199999999999997,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2017-07
162,2017-08-01,cash_conversion,-0.001064,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2017-08
163,2017-09-01,cash_conversion,-0.0002679999999999998,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2017-09
164,2017-10-01,cash_conversion,0.0012799999999999999,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2017-10
165,2017-11-01,cash_conversion,0.0011279999999999988,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2017-11
166,2017-12-01,cash_conversion,0.00526,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2017-12
167,2018-01-01,cash_conversion,0.0034319999999999993,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2018-01
168,2018-02-01,cash_conversion,0.001816,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2018-02
169,2018-03-01,cash_conversion,2.8000000000000247e-05,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2018-03
170,2018-04-01,cash_conversion,-0.0007520000000000005,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2018-04
171,2018-05-01,cash_conversion,-0.0020639999999999994,Cash Conversion Cycle,Inventories per daily COGS plus Account Receivables per daily Sales minus Account Payables per daily COGS,2018-05
